"seller_state","customer_state","total_freight_value_2017","total_freight_value_2018","avg_seller_processing_time_2017","avg_seller_processing_time_2018","avg_carrier_processing_time_2017","avg_carrier_processing_time_2018","delay_value_pct_per_state_2017","delay_value_pct_per_state_2018","avg_review_2017","avg_review_2018","total_orders_2017","total_orders_2018"
RJ,SP,3948.0923,15550.469,"2 days 13:59:54.857143","1 day 31:08:35.234395","6 days 32:55:22.783506","8 days 34:00:59.870634",3.2557498663663864,10.27030125260353,4.1578947368421053,3.9292929292929293,209,792
SP,GO,6060.69,17017.166,"2 days 15:16:37.739583","2 days 13:43:39.022472","12 days 32:57:35.238267","12 days 17:11:01.600761",3.9173755794763565,9.971634298563004,4.0102739726027397,3.8955223880597015,292,804
RJ,MG,1701.9799,5662.1,"1 day 30:08:11.811111","1 day 27:45:09.326667","7 days 20:14:53.617977","8 days 33:11:41.755852",0.0,9.742498397827148,4.4333333333333333,4.0364238410596026,90,302
RJ,PR,527.47003,2646.5898,"2 days 24:23:11.933333","1 day 25:23:08.533835","6 days 30:37:14.4","10 days 13:32:55.198473",3.36511991918087,9.375083446502686,4.2666666666666667,3.5563909774436090,30,133
SP,MG,31944.627,85332.69,"2 days 24:45:06.349177","2 days 18:13:31.604858","7 days 33:09:31.647637","9 days 15:52:59.623629",2.0976612344384193,9.369799494743347,4.1124401913875598,3.9411039921143420,1672,4058
DF,RJ,435.30997,895.5399,"1 day 20:28:46.105263","1 day 34:12:19.977778","7 days 19:01:37.5625","12 days 12:36:37.2",0.0,8.697546273469925,3.7500000000000000,4.0666666666666667,20,45
RJ,GO,349.7,1499.8801,"1 day 30:29:01.277778","1 day 22:43:12.959459","11 days 27:18:50.529412","13 days 16:50:15.675675",5.161566659808159,8.237991482019424,4.5555555555555556,3.9459459459459459,18,74
PR,ES,729.45996,1678.2604,"2 days 16:28:40.322581","2 days 25:43:13","13 days 19:35:06.83871","14 days 18:55:09.083333",6.6268205642700195,8.212670683860779,4.3548387096774194,3.6250000000000000,31,48
RS,PR,587.25006,1809.8093,"2 days 23:39:52.9375","2 days 19:20:02.220779","6 days 13:36:18.1875","6 days 16:58:29.142858",0.0,8.019629120826721,4.3030303030303030,4.1168831168831169,33,77
RJ,PI,139.79001,739.64,"27:17:57","1 day 26:51:02.473685","7 days 20:35:03","13 days 28:06:11.789474",0.0,8.012005686759949,3.8000000000000000,4.2631578947368421,5,19
